frame,input.bJump,input.bJumped,input.bActivateBoost,input.bHoldingBoost,input.Yaw,input.Roll,car.Location.X,car.Location.Y,car.Location.Z,car.LinearVelocity.X,car.LinearVelocity.Y,car.LinearVelocity.Z,car.Quaternion.X,car.Quaternion.Y,car.Quaternion.Z,car.Quaternion.W,car.AngularVelocity.X,car.AngularVelocity.Y,car.AngularVelocity.Z
122,False,False,True,True,1.000000,0.000000,96.139999,78.659996,94.879997,419.519989,82.330002,-368.039978,0.904640,-0.399532,-0.018162,0.147211,-1.030700,-0.493600,-3.752500
123,False,False,True,True,1.000000,0.000000,99.689995,79.290001,91.769997,425.509979,75.900002,-372.699982,0.897564,-0.414287,-0.016797,0.149876,-1.024100,-0.531800,-3.822800
124,False,False,True,True,1.000000,0.000000,103.279999,79.869995,88.629997,431.289978,69.290001,-377.279999,0.890118,-0.429214,-0.015335,0.152412,-1.019200,-0.570100,-3.892800
125,False,False,True,True,1.000000,0.000000,106.919998,80.389999,85.449997,436.849976,62.500000,-381.779999,0.882293,-0.444298,-0.013776,0.154818,-1.015800,-0.608300,-3.962600
126,False,False,True,True,1.000000,0.000000,110.599998,80.849998,82.229996,442.179993,55.539997,-386.190002,0.874076,-0.459528,-0.012119,0.157094,-1.013900,-0.646400,-4.032100
127,False,False,True,True,1.000000,0.000000,114.329994,81.250000,78.979996,447.269989,48.419998,-390.519989,0.865455,-0.474892,-0.010366,0.159241,-1.013500,-0.684400,-4.101400
128,False,False,True,True,1.000000,0.000000,118.099998,81.589996,75.689995,452.099976,41.139999,-394.759979,0.856419,-0.490375,-0.008521,0.161265,-1.014500,-0.722300,-4.170500
129,False,False,True,True,1.000000,0.000000,121.909996,81.869995,72.369995,456.669983,33.700001,-398.910004,0.846955,-0.505966,-0.006579,0.163164,-1.016900,-0.760000,-4.239400
130,False,False,True,True,1.000000,0.000000,125.750000,82.089996,69.010002,460.970001,26.119999,-402.959991,0.837052,-0.521649,-0.004540,0.164938,-1.020600,-0.797400,-4.308200
131,False,False,True,True,1.000000,0.000000,129.619995,82.239998,65.619995,464.979980,18.400000,-406.919983,0.826698,-0.537413,-0.002409,0.166589,-1.025500,-0.834600,-4.376800
132,False,False,True,True,1.000000,0.000000,133.529999,82.330002,62.199997,468.699982,10.550000,-410.789978,0.815884,-0.553236,-0.000181,0.168116,-1.031600,-0.871500,-4.445200
133,False,False,True,True,1.000000,0.000000,137.459991,82.349998,58.750000,472.119995,2.580000,-414.559998,0.804597,-0.569107,0.002139,0.169519,-1.038900,-0.908100,-4.513500
134,False,False,True,True,1.000000,0.000000,141.419998,82.299995,55.259998,475.220001,-5.490000,-418.239990,0.792824,-0.585011,0.004551,0.170797,-1.047300,-0.944300,-4.581700
135,False,False,True,True,1.000000,0.000000,145.399994,82.189995,51.739998,478.000000,-13.650000,-421.829987,0.780558,-0.600926,0.007054,0.171952,-1.056800,-0.980200,-4.649800
136,False,False,True,True,1.000000,0.000000,149.399994,82.009995,48.200001,480.440002,-21.900000,-425.319977,0.767788,-0.616835,0.009649,0.172982,-1.067300,-1.015700,-4.717800
137,False,False,True,True,1.000000,0.000000,153.000000,81.860001,46.329998,431.919983,-18.299999,-255.369995,0.764081,-0.629416,0.010005,0.141120,3.779400,-3.517600,-1.895300
138,False,False,True,True,1.000000,0.000000,156.610001,81.639999,44.169998,433.739990,-26.750000,-259.079987,0.760702,-0.637719,0.010086,0.120604,3.656100,-3.403400,-1.980600
139,False,False,True,True,1.000000,0.000000,160.239990,81.349998,41.980000,435.380005,-35.279999,-263.000000,0.756673,-0.645913,0.010069,0.100697,3.540100,-3.290200,-2.065100
140,False,False,True,True,1.000000,0.000000,163.879990,80.979996,39.750000,436.829987,-43.879997,-267.130005,0.752023,-0.654016,0.009951,0.081394,3.431300,-3.177900,-2.148700
141,False,False,True,True,1.000000,0.000000,167.529999,80.540001,37.489998,438.099976,-52.539997,-271.470001,0.746776,-0.662044,0.009730,0.062680,3.329400,-3.066600,-2.231400
142,False,False,True,True,1.000000,0.000000,171.190002,80.029999,35.189999,439.169983,-61.239998,-275.979980,0.740964,-0.670001,0.009400,0.044532,3.236000,-2.958000,-2.312700
143,False,False,True,True,1.000000,0.000000,174.849991,79.449997,32.860001,439.630005,-69.959999,-279.279999,0.734648,-0.677867,0.009001,0.026599,3.203300,-2.910400,-2.378300
